24|A701|D352|2025-10-30
24|A739|D214|2025-11-02
24|A745|D298|2025-11-03
24|A710|D276|2025-11-05
24|A732|D433|2025-11-06
24|A766|D417|2025-11-07
24|A756|D468|2025-11-08
24|A778|D189|2025-11-09
24|A721|D391|2025-11-10
24|A757|D582|2025-11-11
24|A733|D512|2025-11-12
24|A720|D198|2025-11-13
24|A702|D357|2025-11-14
24|A719|D265|2025-11-15
24|A759|D609|2025-11-16
24|A788|D529|2025-11-17
24|A711|D341|2025-11-18
24|A799|D304|2025-11-19
24|A715|D223|2025-11-20
24|A734|D411|2025-11-21
24|A762|D524|2025-11-22
24|A736|D477|2025-11-23
24|A717|D311|2025-11-24
24|A727|D467|2025-11-25
24|A730|D232|2025-11-26
24|A772|D299|2025-11-27
24|A748|D310|2025-11-28
24|A725|D388|2025-11-29
24|A778|D455|2025-11-30
24|A766|D208|2025-12-01
